ph,turbidity,startFlow,endFlow,flowDiff,flowRatio,phDeviation,clog
6.48,1.49,47.77227809845114,33.29383787232409,30.307200749960607,0.696927992500394,0.019999999999999574,0
6.23,3.23,57.27332624828897,44.4767302626967,22.343029161807355,0.7765697083819265,0.2699999999999996,0
5.71,1.3,44.78887494644914,38.460309774677,14.129770348861753,0.8587022965113825,0.79,0
7.13,2.7,50.95077176778029,11.04578134435491,78.32067903760405,0.2167932096239595,0.6299999999999999,1
5.81,2.9,58.31487722454064,43.42438599049902,25.534635315626208,0.7446536468437379,0.6900000000000004,0
6.35,3.09,42.18952705072656,29.60575229155239,29.82677370154938,0.7017322629845062,0.15000000000000036,0
7.25,1.1,53.46496212277194,13.12958712351308,75.44263270333285,0.2455736729666716,0.75,1
7.1,3.19,58.31837173757269,39.28578178373306,32.63566760657265,0.6736433239342734,0.5999999999999996,0
6.27,2.12,59.877566488452615,20.746328968169315,65.3520839525597,0.34647916047440314,0.23000000000000043,1
7.47,1.45,52.26520733034773,41.19084216635936,21.188790267283704,0.7881120973271629,0.9699999999999998,0
6.5,2.6,42.62157445297456,37.03523448785247,13.106836236858497,0.868931637631415,0.0,0
5.53,2.25,54.171613663433206,17.22928630616482,68.19499154444628,0.31805008455553707,0.9699999999999998,1
6.87,0.71,51.728568341995626,44.02754420245133,14.887371497757554,0.8511262850224245,0.3700000000000001,0
5.58,1.58,48.08429200537944,22.25523255441379,53.716210375055574,0.46283789624944427,0.9199999999999999,1
5.8,0.77,58.095360929871724,50.59214281622065,12.91534813374924,0.8708465186625076,0.7000000000000002,0
7.1,3.42,58.76122714988904,54.24151949559676,7.691649534076843,0.9230835046592316,0.5999999999999996,0
7.34,2.72,49.58128760027241,22.970029211658655,53.67197924175642,0.4632802075824359,0.8399999999999999,1
6.76,3.2,40.50583222040259,35.565398758385136,12.196844728767184,0.8780315527123281,0.2599999999999998,0
5.64,0.93,48.756760151139645,42.887324658066724,12.038198343939241,0.8796180165606076,0.8600000000000003,0
7.35,0.78,54.18024384394562,35.23668176030023,34.96396608735869,0.6503603391264131,0.8499999999999996,0
6.76,1.77,49.51862619306752,19.584394879262447,60.45044787206917,0.39549552127930826,0.2599999999999998,1
7.47,0.94,49.12825696561016,36.6974659328088,25.302731667241794,0.746972683327582,0.9699999999999998,0
5.92,2.82,54.00735225934938,46.292079150627714,14.285597767637373,0.8571440223236263,0.5800000000000001,0
5.95,0.69,49.94826142692876,36.52649896569895,26.87133060850381,0.7312866939149619,0.5499999999999998,0
7.18,2.4,58.59761403230739,40.67915542290859,30.578819471249425,0.6942118052875057,0.6799999999999997,0
6.65,1.56,48.07614992239673,35.403373024438714,26.359799855882976,0.7364020014411703,0.15000000000000036,0
7.06,2.6,59.75912416446738,53.668120326634956,10.19259221582454,0.8980740778417546,0.5599999999999996,0
6.81,2.61,56.778082473360044,52.34880517403246,7.801033614345429,0.9219896638565457,0.3099999999999996,0
5.55,3.39,50.616682755303145,34.013359488909984,32.80207702796094,0.6719792297203906,0.9500000000000002,0
6.79,0.8,40.3654725060542,37.54044041577003,6.998635008819637,0.9300136499118036,0.29000000000000004,0
6.78,2.74,54.987677313234784,33.84748713594241,38.44532304368531,0.6155467695631468,0.28000000000000025,0
7.28,2.71,47.171144347179826,35.89726482177495,23.899949177465523,0.7610005082253448,0.7800000000000002,0
6.55,2.91,53.584451900146206,13.698049809442695,74.43652155858793,0.2556347844141207,0.04999999999999982,1
6.03,2.88,44.198985566162186,28.17086526801608,36.26354789105589,0.6373645210894411,0.46999999999999975,0
7.36,2.21,50.09617697142505,34.56396600480867,31.00478301063968,0.6899521698936032,0.8600000000000003,0
7.23,1.74,42.23090342749872,8.585943362944278,79.66905117792595,0.20330948822074044,0.7300000000000004,1
